#Organism Name	Organism Groups		Size(Mb)	Chromosomes
"Frankia symbiont of Coriaria nepalensis"	Bacteria	Terrabacteria group	5.1778	0
"Frankia symbiont of Coriaria ruscifolia"	Bacteria	Terrabacteria group	5.51115	0
"Frankia symbiont of Datisca glomerata"	Bacteria	Terrabacteria group	5.34099	1
"Frankia torreyi"	Bacteria	Terrabacteria group	7.62476	0
"Frankiales bacterium"	Bacteria	Terrabacteria group	3.21457	0
"Frankiales bacterium YIM 75000"	Bacteria	Terrabacteria group	4.04535	0
"Frankineae bacterium MT45"	Bacteria	Terrabacteria group	4.2287	1
"Frankliniella occidentalis"	Eukaryota	Animals	274.99	0
"Frateuria"	Bacteria	Proteobacteria	4.54816	0
"Frateuria aurantia"	Bacteria	Proteobacteria	3.60346	1
"Frateuria terrea"	Bacteria	Proteobacteria	3.83814	0
"Fraxinus excelsior"	Eukaryota	Plants	867.455	0
"Frederiksenia canicola"	Bacteria	Proteobacteria	2.12493	0
"Free State vervet virus"	Viruses	Other	0.015307	1
"Freesia mosaic virus"	Viruses	Other	0.009489	1
"Freesia sneak virus"	Viruses	Other	0.001456	1
"French barley mosaic virus"	Viruses	Other	0.004798	0
"French bean leaf curl betasatellite-Kanpur"	Viruses	Other	0.001379	1
"French bean leaf curl virus"	Viruses	Other	0.002741	1
"French bean severe leaf curl virus"	Viruses	Other	0.002771	1
"Freshwater phage uvFW-CGR-AMD-COM-C203"	Viruses	Other	0.061371	1
"Freshwater phage uvFW-CGR-AMD-COM-C403"	Viruses	Other	0.04218	1
"Freshwater phage uvFW-CGR-AMD-COM-C429"	Viruses	Other	0.040987	1
"Freshwater phage uvFW-CGR-AMD-COM-C440"	Viruses	Other	0.040606	1
"Freshwater phage uvFW-CGR-AMD-COM-C449"	Viruses	Other	0.040306	1
"Freshwater phage uvFW-CGR-AMD-COM-C455"	Viruses	Other	0.040207	1
"Freshwater phage uvFW-CGR-AMD-COM-C493"	Viruses	Other	0.038969	1
"Freshwater phage uvFW-CGR-AMDFOS-S50-C341"	Viruses	Other	0.014429	1
"Fretibacterium"	Bacteria	Synergistetes	2.86411	0
"Fretibacterium fastidiosum"	Bacteria	Synergistetes	2.72834	1
"Friedmanniella flava"	Bacteria	Terrabacteria group	4.78855	0
"Friedmanniella luteola"	Bacteria	Terrabacteria group	4.71761	1
"Friedmanniella sagamiharensis"	Bacteria	Terrabacteria group	4.40529	1
"Friedmanniomyces endolithicus"	Eukaryota	Fungi	46.7522	0
"Friedmanniomyces simplex"	Eukaryota	Fungi	37.7906	0
"Frigoribacterium"	Bacteria	Terrabacteria group	3.75231	0
"Frigoribacterium faeni"	Bacteria	Terrabacteria group	3.37798	0
"Frijoles phlebovirus"	Viruses	Other	0.001806	6
"Frischella perrara"	Bacteria	Proteobacteria	2.69235	1
"Frisingicoccus caecimuris"	Bacteria	Terrabacteria group	2.71636	0
"Fritillaria borealis"	Eukaryota	Animals	143.085	0
"Fritillary virus Y"	Viruses	Other	0.009656	1
"Frog adenovirus 1"	Viruses	Other	0.026163	1
"Frog virus 3"	Viruses	Other	0.108041	1
"Frondihabitans"	Bacteria	Terrabacteria group	4.76686	1
"Frondihabitans australicus"	Bacteria	Terrabacteria group	4.03672	0
"Fructobacillus"	Bacteria	Terrabacteria group	1.6372	0
"Fructobacillus durionis"	Bacteria	Terrabacteria group	1.32739	0
"Fructobacillus ficulneus"	Bacteria	Terrabacteria group	1.5522	0
"Fructobacillus fructosus"	Bacteria	Terrabacteria group	1.48486	0
"Fructobacillus pseudoficulneus"	Bacteria	Terrabacteria group	1.41356	0
"Fructobacillus tropaeoli"	Bacteria	Terrabacteria group	1.68694	0
"Fruit bat alphaherpesvirus 1"	Viruses	Other	0.149459	1
"Fuerstia marisgermanicae"	Bacteria	PVC group	8.92048	1
"Fugong orthohantavirus"	Viruses	Other	0.011974	3
"Fujinami sarcoma virus"	Viruses	Other	0.004788	1
"Fukomys damarensis"	Eukaryota	Animals	2333.89	0
"Fukuoka ledantevirus"	Viruses	Other	0.010863	1
"Fulmarus glacialis"	Eukaryota	Animals	1141.4	0
"Fulmarus glacialis papillomavirus 1"	Viruses	Other	0.008132	1
"Fulvimarina"	Bacteria	Proteobacteria	5.62104	0
"Fulvimarina manganoxydans"	Bacteria	Proteobacteria	4.82758	0
"Fulvimarina pelagi"	Bacteria	Proteobacteria	3.80624	0
"Fulvimonas soli"	Bacteria	Proteobacteria	3.76843	0
"Fulvivirga"	Bacteria	FCB group	8.12914	0
"Fulvivirga imtechensis"	Bacteria	FCB group	6.73786	0
"Fundulus heteroclitus"	Eukaryota	Animals	1021.9	0
"fungal sp. ARF18"	Eukaryota	Fungi	46.3942	0
"fungal sp. EF0021"	Eukaryota	Fungi	44.3721	0
"fungal sp. Mo6-1"	Eukaryota	Fungi	25.1029	0
"fungal sp. No.11243"	Eukaryota	Fungi	21.7198	0
"fungal sp. No.14919"	Eukaryota	Fungi	48.7349	0
"Fur seal faeces associated circular DNA virus"	Viruses	Other	0.002925	1
"Fur seal picorna-like virus"	Viruses	Other	0.008136	1
"Furcraea necrotic streak virus"	Viruses	Other	0.003966	1
"Furculomyces boomerangus"	Eukaryota	Fungi	28.123	0
"Fusarium agapanthi"	Eukaryota	Fungi	41.9551	0
"Fusarium algeriense"	Eukaryota	Fungi	49.9912	0
"Fusarium ambrosium"	Eukaryota	Fungi	49.0423	0
"Fusarium asiaticum"	Eukaryota	Fungi	36.5267	0
"Fusarium asiaticum victorivirus 1"	Viruses	Other	0.005281	1
"Fusarium avenaceum"	Eukaryota	Fungi	43.1681	0
"Fusarium azukicola"	Eukaryota	Fungi	51.308	0
"Fusarium beomiforme"	Eukaryota	Fungi	46.5223	0
"Fusarium brasiliense"	Eukaryota	Fungi	49.3828	0
"Fusarium burgessii"	Eukaryota	Fungi	49.3289	0
"Fusarium camptoceras"	Eukaryota	Fungi	36.7617	0
"Fusarium circinatum"	Eukaryota	Fungi	43.9492	12
"Fusarium citri"	Eukaryota	Fungi	37.8718	0
"Fusarium coeruleum mitovirus 1"	Viruses	Other	0.002423	1
"Fusarium coffeatum"	Eukaryota	Fungi	37.035	0
"Fusarium commune"	Eukaryota	Fungi	46.1785	0
"Fusarium culmorum"	Eukaryota	Fungi	41.9289	4
"Fusarium cuneirostrum"	Eukaryota	Fungi	49.0078	0
"Fusarium equiseti"	Eukaryota	Fungi	40.776	0
"Fusarium euwallaceae"	Eukaryota	Fungi	48.2741	0
"Fusarium fracticaudum"	Eukaryota	Fungi	46.2528	0
"Fusarium fujikuroi"	Eukaryota	Fungi	43.8323	12
"Fusarium globosum mitovirus 1"	Viruses	Other	0.002414	1
"Fusarium graminearum"	Eukaryota	Fungi	36.458	4
"Fusarium graminearum alternavirus 1"	Viruses	unclassified viruses	0.005994	2
"Fusarium graminearum deltaflexivirus 1"	Viruses	Other	0.008246	1
"Fusarium graminearum dsRNA mycovirus-1"	Viruses	dsRNA viruses	0.006621	1
"Fusarium graminearum dsRNA mycovirus-2"	Viruses	Other	0.014724	5
"Fusarium graminearum dsRNA mycovirus-3"	Viruses	dsRNA viruses	0.009098	1
"Fusarium graminearum dsRNA mycovirus-4"	Viruses	dsRNA viruses	0.004122	2
"Fusarium graminearum hypovirus 1"	Viruses	Other	0.013023	1
"Fusarium graminearum hypovirus 2"	Viruses	Other	0.0128	1
"Fusarium graminearum mycotymovirus 1"	Viruses	Other	0.007863	1
"Fusarium hostae"	Eukaryota	Fungi	54.582	0
"Fusarium humuli"	Eukaryota	Fungi	39.1613	0
"Fusarium incarnatum"	Eukaryota	Fungi	38.2648	0
"Fusarium irregulare"	Eukaryota	Fungi	37.4416	0
"Fusarium kuroshium"	Eukaryota	Fungi	46.6368	0
"Fusarium langsethiae"	Eukaryota	Fungi	37.543	0
"Fusarium langsethiae hypovirus 1"	Viruses	Other	0.012839	1
"Fusarium longipes"	Eukaryota	Fungi	35.3145	0
"Fusarium mangiferae"	Eukaryota	Fungi	46.2927	0
"Fusarium meridionale"	Eukaryota	Fungi	36.3998	0
"Fusarium metavorans"	Eukaryota	Fungi	46.941	0
"Fusarium nanum"	Eukaryota	Fungi	37.1524	0
"Fusarium neocosmosporiellum"	Eukaryota	Fungi	54.0375	0
"Fusarium nygamai"	Eukaryota	Fungi	51.615	0
"Fusarium oxysporum"	Eukaryota	Fungi	61.3869	15
"Fusarium oxysporum chrysovirus 1"	Viruses	Other	0.004216	0
"Fusarium oxysporum f. sp. dianthi mycovirus 1"	Viruses	Other	0.011804	4
"Fusarium phaseoli"	Eukaryota	Fungi	50.5344	0
"Fusarium pininemorale"	Eukaryota	Fungi	47.7785	0
"Fusarium poae"	Eukaryota	Fungi	46.4768	0
"Fusarium poae alternavirus 1"	Viruses	unclassified viruses	0.008537	3
"Fusarium poae dsRNA virus 2"	Viruses	dsRNA viruses	0.009518	1
"Fusarium poae dsRNA virus 3"	Viruses	dsRNA viruses	0.009419	1
"Fusarium poae fusarivirus 1"	Viruses	Other	0.006379	1
"Fusarium poae mitovirus 1"	Viruses	Other	0.002397	1
"Fusarium poae mitovirus 2"	Viruses	Other	0.002414	1
"Fusarium poae mitovirus 3"	Viruses	Other	0.002718	1
"Fusarium poae mitovirus 4"	Viruses	Other	0.002387	1
"Fusarium poae mycovirus 1"	Viruses	dsRNA viruses	0.009148	1
"Fusarium poae mycovirus 2"	Viruses	dsRNA viruses	0.004224	1
"Fusarium poae narnavirus 1"	Viruses	Other	0.002297	1
"Fusarium poae narnavirus 2"	Viruses	Other	0.002054	1
"Fusarium poae negative-stranded virus 1"	Viruses	Other	0.007747	1
"Fusarium poae negative-stranded virus 2"	Viruses	Other	0.006608	1
"Fusarium poae partitivirus 2"	Viruses	Other	0.004816	2
"Fusarium poae victorivirus 1"	Viruses	Other	0.005124	1
"Fusarium poae virus 1"	Viruses	Other	0.004388	2
"Fusarium poae virus 1-240374"	Viruses	Other	0.004662	2
"Fusarium praegraminearum"	Eukaryota	Fungi	35.3148	0
"Fusarium proliferatum"	Eukaryota	Fungi	45.2103	0
"Fusarium pseudograminearum"	Eukaryota	Fungi	36.9733	4
"Fusarium sambucinum"	Eukaryota	Fungi	37.7842	0
"Fusarium scirpi"	Eukaryota	Fungi	39.6262	0
"Fusarium solani"	Eukaryota	Fungi	45.8133	0
"Fusarium solani virus 1"	Viruses	Other	0.00309	2
"Fusarium sp. AF-3"	Eukaryota	Fungi	47.4298	0
"Fusarium sp. AF-4"	Eukaryota	Fungi	48.6591	0
"Fusarium sp. AF-6"	Eukaryota	Fungi	43.1213	0
"Fusarium sp. AF-8"	Eukaryota	Fungi	47.52	0
"Fusarium sp. FIESC_12"	Eukaryota	Fungi	40.4391	0
"Fusarium sp. FIESC_23"	Eukaryota	Fungi	37.4916	0
"Fusarium sp. FIESC_5"	Eukaryota	Fungi	38.6006	0
"Fusarium sp. JS1030"	Eukaryota	Fungi	53.7483	0
"Fusarium sp. JS626"	Eukaryota	Fungi	42.8669	0
"Fusarium sp. Na10"	Eukaryota	Fungi	46.6232	0
"Fusarium sporotrichioides"	Eukaryota	Fungi	37.4291	0
"Fusarium subtropicale"	Eukaryota	Fungi	35.3767	0
"Fusarium temperatum"	Eukaryota	Fungi	45.4588	0
"Fusarium tricinctum"	Eukaryota	Fungi	42.7961	0
"Fusarium tucumaniae"	Eukaryota	Fungi	48.3836	0
"Fusarium udum"	Eukaryota	Fungi	56.3806	0
"Fusarium venenatum"	Eukaryota	Fungi	38.6602	5
"Fusarium verticillioides"	Eukaryota	Fungi	41.8449	11
"Fusarium virguliforme"	Eukaryota	Fungi	50.4488	0
"Fusarium xylarioides"	Eukaryota	Fungi	55.1149	0
"Fusibacter"	Bacteria	Terrabacteria group	5.11125	0
"Fusicatenibacter"	Bacteria	Terrabacteria group	7.92766	0
"Fusicatenibacter saccharivorans"	Bacteria	Terrabacteria group	3.65389	0
"Fusobacteria bacterium"	Bacteria	Fusobacteria	1.02809	0
"Fusobacteriaceae bacterium"	Bacteria	Fusobacteria	1.10661	0
"Fusobacteriaceae bacterium UBA2433"	Bacteria	Fusobacteria	2.7658	0
"Fusobacteriales bacterium"	Bacteria	Fusobacteria	0.457836	0
"Fusobacteriia bacterium 4572_132"	Bacteria	Fusobacteria	1.34705	0
"Fusobacteriia bacterium 4572_74"	Bacteria	Fusobacteria	1.36848	0
"Fusobacteriia bacterium UBA1095"	Bacteria	Fusobacteria	0.767976	0
"Fusobacteriia bacterium UBA1674"	Bacteria	Fusobacteria	0.585339	0
"Fusobacteriia bacterium UBA1975"	Bacteria	Fusobacteria	0.713306	0
"Fusobacteriia bacterium UBA6774"	Bacteria	Fusobacteria	0.743532	0
"Fusobacteriia bacterium UBA816"	Bacteria	Fusobacteria	0.637326	0
"Fusobacterium"	Bacteria	Fusobacteria	3.50167	1
"Fusobacterium canifelinum"	Bacteria	Fusobacteria	2.22446	0
"Fusobacterium equinum"	Bacteria	Fusobacteria	1.79792	0
"Fusobacterium gonidiaformans"	Bacteria	Fusobacteria	1.93043	1
"Fusobacterium hwasookii"	Bacteria	Fusobacteria	2.53172	1
"Fusobacterium massiliense"	Bacteria	Fusobacteria	1.80917	0
"Fusobacterium mortiferum"	Bacteria	Fusobacteria	2.67104	0
"Fusobacterium naviforme"	Bacteria	Fusobacteria	2.43451	0
"Fusobacterium necrogenes"	Bacteria	Fusobacteria	2.01524	0
"Fusobacterium necrophorum"	Bacteria	Fusobacteria	2.1108	0
"Fusobacterium nucleatum"	Bacteria	Fusobacteria	2.51403	1
"Fusobacterium perfoetens"	Bacteria	Fusobacteria	2.10301	0
"Fusobacterium periodonticum"	Bacteria	Fusobacteria	2.54631	0
"Fusobacterium phage Fnu1"	Viruses	Other	0.130914	1
"Fusobacterium phage Funu1"	Viruses	Other	0.039921	1
"Fusobacterium phage Funu2"	Viruses	Other	0.039844	0
"Fusobacterium russii"	Bacteria	Fusobacteria	1.9418	0
"Fusobacterium ulcerans"	Bacteria	Fusobacteria	3.4875	0
"Fusobacterium varium"	Bacteria	Fusobacteria	4.12284	1
"Fusong orthohantavirus"	Viruses	Other	0.005573	2
"Gabonia massiliensis"	Bacteria	FCB group	4.26137	0
"Gabonibacter massiliensis"	Bacteria	FCB group	3.39702	0
"Gadgets Gully virus"	Viruses	Other	0.010251	1
"Gadiculus argenteus"	Eukaryota	Animals	396.767	0
"Gadus chalcogrammus"	Eukaryota	Animals	448.868	0
"Gadus morhua"	Eukaryota	Animals	669.966	23
"Gaetbulibacter"	Bacteria	FCB group	3.89778	0
"Gaetbulibacter saemankumensis"	Bacteria	FCB group	3.08915	0
"Gaeumannomyces sp. JS-464"	Eukaryota	Fungi	53.1513	0
"Gaeumannomyces tritici"	Eukaryota	Fungi	43.7687	0
"Gaiella"	Bacteria	Terrabacteria group	0.99536	0
"Gaiella occulta"	Bacteria	Terrabacteria group	3.02853	0
"Gaiellales bacterium"	Bacteria	Terrabacteria group	2.34506	0
"Gaillardia latent virus"	Viruses	Other	0.008659	1
"Gairo mammarenavirus"	Viruses	Other	0.010609	2
"Galactobacillus timonensis"	Bacteria	Terrabacteria group	2.86018	0
"Galbibacter marinus"	Bacteria	FCB group	3.57245	0
"Galdieria phlegrea"	Eukaryota	Other	14.8712	0
"Galdieria sulphuraria"	Eukaryota	Other	13.712	0
"Galendromus occidentalis"	Eukaryota	Animals	151.724	0
"Galeopterus variegatus"	Eukaryota	Animals	3187.66	0
"Galerina marginata"	Eukaryota	Fungi	59.4182	0
"Galinsoga mosaic virus"	Viruses	Other	0.003803	1
"Gallaecimonas mangrovi"	Bacteria	Proteobacteria	4.07198	1
"Gallaecimonas pentaromativorans"	Bacteria	Proteobacteria	4.32084	0
"Gallaecimonas xiamenensis"	Bacteria	Proteobacteria	4.06228	0
"Galleria mellonella"	Eukaryota	Animals	401.085	0
"Galleria mellonella densovirus"	Viruses	Other	0.006039	1
"Gallibacterium anatis"	Bacteria	Proteobacteria	2.69414	1
"Gallibacterium genomosp. 1"	Bacteria	Proteobacteria	2.38106	0
"Gallibacterium genomosp. 2"	Bacteria	Proteobacteria	2.50218	0
"Gallibacterium genomosp. 3"	Bacteria	Proteobacteria	2.45286	0
"Gallibacterium salpingitidis"	Bacteria	Proteobacteria	2.64559	0
"Gallid alphaherpesvirus 1"	Viruses	Other	0.148687	1
"Gallid alphaherpesvirus 2"	Viruses	Other	0.177874	1
"Gallid alphaherpesvirus 3"	Viruses	Other	0.16427	1
"Galliform aveparvovirus 1"	Viruses	Other	0.005257	1
"Gallionella"	Bacteria	Proteobacteria	3.03864	0
"Gallionella capsiferriformans"	Bacteria	Proteobacteria	3.16247	1
"Gallionellaceae bacterium"	Bacteria	Proteobacteria	3.38639	0
"Gallionellaceae bacterium CG02_land_8_20_14_3_00_60_115"	Bacteria	Proteobacteria	0.903074	0
"Gallionellaceae bacterium CG11_big_fil_rev_8_21_14_0_20_60_62"	Bacteria	Proteobacteria	1.25598	0
"Gallionellaceae bacterium CG1_02_56_997"	Bacteria	Proteobacteria	1.86156	0
"Gallionellaceae bacterium CG1_02_60_325"	Bacteria	Proteobacteria	0.955885	0
"Gallionellaceae bacterium CG1_02_60_948"	Bacteria	Proteobacteria	0.776045	0
"Gallionellaceae bacterium CG_4_10_14_3_um_filter_60_1069"	Bacteria	Proteobacteria	0.574739	0
"Gallionellaceae bacterium CG_4_9_14_0_8_um_filter_60_335"	Bacteria	Proteobacteria	0.931382	0
"Gallionellaceae bacterium UBA1605"	Bacteria	Proteobacteria	1.95567	0
"Gallionellaceae bacterium UBA2239"	Bacteria	Proteobacteria	3.06023	0
"Gallionellaceae bacterium UBA5126"	Bacteria	Proteobacteria	2.02917	0
"Gallionellaceae bacterium UBA6222"	Bacteria	Proteobacteria	2.05928	0
"Gallionellales bacterium 24-53-125"	Bacteria	Proteobacteria	3.27014	0
"Gallionellales bacterium 35-53-114"	Bacteria	Proteobacteria	3.28837	0
"Gallionellales bacterium 39-52-133"	Bacteria	Proteobacteria	3.27834	0
"Gallionellales bacterium CG03_land_8_20_14_0_80_55_15"	Bacteria	Proteobacteria	1.61386	0
"Gallionellales bacterium CG08_land_8_20_14_0_20_59_87"	Bacteria	Proteobacteria	0.751649	0
"Gallionellales bacterium CG17_big_fil_post_rev_8_21_14_2_50_54_146"	Bacteria	Proteobacteria	1.34746	0
"Gallionellales bacterium CG_4_10_14_3_um_filter_54_96"	Bacteria	Proteobacteria	1.43481	0
"Gallionellales bacterium CG_4_8_14_3_um_filter_54_18"	Bacteria	Proteobacteria	2.0332	0
"Gallionellales bacterium CG_4_9_14_0_8_um_filter_55_61"	Bacteria	Proteobacteria	1.79432	0
"Gallionellales bacterium CG_4_9_14_0_8_um_filter_59_50"	Bacteria	Proteobacteria	0.523479	0
"Gallionellales bacterium GWA2_54_124"	Bacteria	Proteobacteria	2.90428	0
"Gallionellales bacterium GWA2_55_18"	Bacteria	Proteobacteria	1.68942	0
"Gallionellales bacterium GWA2_59_43"	Bacteria	Proteobacteria	2.2519	0
"Gallionellales bacterium GWA2_60_142"	Bacteria	Proteobacteria	2.33712	0
"Gallionellales bacterium GWA2_60_18"	Bacteria	Proteobacteria	2.12164	0
"Gallionellales bacterium GWE2_58_10"	Bacteria	Proteobacteria	0.988621	0
"Gallionellales bacterium RBG_16_56_9"	Bacteria	Proteobacteria	2.24014	0
"Gallionellales bacterium RBG_16_57_15"	Bacteria	Proteobacteria	2.5703	0
"Gallionellales bacterium RIFCSPHIGHO2_02_FULL_57_16"	Bacteria	Proteobacteria	4.06769	0
"Gallionellales bacterium RIFCSPLOWO2_02_58_13"	Bacteria	Proteobacteria	2.74718	0
"Gallionellales bacterium RIFCSPLOWO2_02_60_31"	Bacteria	Proteobacteria	1.42203	0
"Gallionellales bacterium RIFCSPLOWO2_02_FULL_57_47"	Bacteria	Proteobacteria	2.81329	0
"Gallionellales bacterium RIFCSPLOWO2_02_FULL_59_110"	Bacteria	Proteobacteria	2.80931	0
"Gallionellales bacterium RIFCSPLOWO2_12_FULL_57_18"	Bacteria	Proteobacteria	0.575999	0
"Gallionellales bacterium RIFCSPLOWO2_12_FULL_59_22"	Bacteria	Proteobacteria	3.11023	0
"Gallionellales bacterium RIFOXYB12_FULL_54_9"	Bacteria	Proteobacteria	1.8366	0
"Gallionellales bacterium RIFOXYD12_FULL_53_10"	Bacteria	Proteobacteria	2.24164	0
"Gallionellales bacterium RIFOXYD2_FULL_52_7"	Bacteria	Proteobacteria	1.60731	0
"Gallionellales bacterium UBA7399"	Bacteria	Proteobacteria	1.06072	0
"Gallirallus okinawae"	Eukaryota	Animals	1114.53	0
"Gallivirus Pf-CHK1/GV"	Viruses	Other	0.008506	1
"Gallus gallus"	Eukaryota	Animals	1065.37	34
"Gamarada debralockiae"	Eukaryota	Fungi	58.1888	0
"Gamboa mosquito virus"	Viruses	Other	0.026315	1
"Gamboa orthobunyavirus"	Viruses	Other	0.012866	3
"Gambusia affinis"	Eukaryota	Animals	598.663	0
"gamma proteobacterium BDW918"	Bacteria	Proteobacteria	4.30774	0
"gamma proteobacterium HdN1"	Bacteria	Proteobacteria	4.58746	1
"gamma proteobacterium HIMB30"	Bacteria	Proteobacteria	2.16887	0
"gamma proteobacterium HIMB55"	Bacteria	Proteobacteria	2.73699	0
"gamma proteobacterium HTCC2207"	Bacteria	Proteobacteria	2.63427	0
"gamma proteobacterium HTCC5015"	Bacteria	Proteobacteria	2.62561	0
"gamma proteobacterium IMCC1989"	Bacteria	Proteobacteria	3.01762	0
"gamma proteobacterium IMCC2047"	Bacteria	Proteobacteria	2.23402	0
"gamma proteobacterium IMCC3088"	Bacteria	Proteobacteria	3.03962	0
"gamma proteobacterium L18"	Bacteria	Proteobacteria	6.85447	0
"gamma proteobacterium NOR5-3"	Bacteria	Proteobacteria	4.20808	0
"gamma proteobacterium SCGC AAA001-B15"	Bacteria	Proteobacteria	0.771017	0
"gamma proteobacterium SCGC AAA007-O20"	Bacteria	Proteobacteria	1.02811	0
"gamma proteobacterium SCGC AAA076-D02"	Bacteria	Proteobacteria	1.76176	0
"gamma proteobacterium SCGC AAA076-D13"	Bacteria	Proteobacteria	1.66338	0
"gamma proteobacterium SCGC AAA076-E13"	Bacteria	Proteobacteria	0.953811	0
"gamma proteobacterium SCGC AAA076-F14"	Bacteria	Proteobacteria	1.76398	0
"gamma proteobacterium SCGC AAA076-P09"	Bacteria	Proteobacteria	0.987278	0
"gamma proteobacterium SCGC AAA076-P13"	Bacteria	Proteobacteria	1.31116	0
"gamma proteobacterium SCGC AAA160-D02"	Bacteria	Proteobacteria	0.847628	0
"gamma proteobacterium SCGC AAA168-I18"	Bacteria	Proteobacteria	0.957144	0
"gamma proteobacterium SCGC AAA168-P09"	Bacteria	Proteobacteria	1.30925	0
"gamma proteobacterium SCGC AAA300-D14"	Bacteria	Proteobacteria	1.45952	0
"gamma proteobacterium SCGC AAA536-J20"	Bacteria	Proteobacteria	0.358127	0
"gamma proteobacterium SCGC AAA536-N21"	Bacteria	Proteobacteria	0.43657	0
"gamma proteobacterium SCGC AB-629-K02"	Bacteria	Proteobacteria	1.05449	0
"gamma proteobacterium SCGC AB-629-P17"	Bacteria	Proteobacteria	1.42409	0
"gamma proteobacterium symbiont of Ctena orbiculata"	Bacteria	Proteobacteria	4.74011	0
"gamma proteobacterium symbiont of Paraescarpia echinospica"	Bacteria	Proteobacteria	4.06476	0
"gamma proteobacterium symbiont of Stewartia floridana"	Bacteria	Proteobacteria	4.5519	0
"gamma proteobacterium WG36"	Bacteria	Proteobacteria	5.16204	0
"Gammapapillomavirus"	Viruses	Other	0.00735	1
"Gammapapillomavirus 1"	Viruses	Other	0.007337	1
"Gammapapillomavirus 10"	Viruses	Other	0.007388	1
"Gammapapillomavirus 11"	Viruses	Other	0.007344	1
"Gammapapillomavirus 12"	Viruses	Other	0.007192	1
"Gammapapillomavirus 13"	Viruses	Other	0.007243	1
"Gammapapillomavirus 14"	Viruses	Other	0.007159	1
"Gammapapillomavirus 15"	Viruses	Other	0.007272	1
"Gammapapillomavirus 16"	Viruses	Other	0.007209	1
"Gammapapillomavirus 18"	Viruses	Other	0.007339	1
"Gammapapillomavirus 19"	Viruses	Other	0.007289	1
"Gammapapillomavirus 2"	Viruses	Other	0.007137	1
"Gammapapillomavirus 20"	Viruses	Other	0.007233	1
"Gammapapillomavirus 22"	Viruses	Other	0.007309	1
"Gammapapillomavirus 23"	Viruses	Other	0.007226	1
"Gammapapillomavirus 24"	Viruses	Other	0.007326	1
"Gammapapillomavirus 25"	Viruses	Other	0.007324	1
"Gammapapillomavirus 26"	Viruses	Other	0.007268	1
"Gammapapillomavirus 5"	Viruses	Other	0.007204	1
"Gammapapillomavirus 6"	Viruses	Other	0.007357	1
"Gammapapillomavirus 7"	Viruses	Other	0.007417	1
"Gammapapillomavirus 8"	Viruses	Other	0.007298	1
"Gammapapillomavirus 9"	Viruses	Other	0.007301	1
"Gammaproteobacteria bacterium"	Bacteria	Proteobacteria	9.36023	0
"Gammaproteobacteria bacterium (ex Lamellibrachia satsuma)"	Bacteria	Proteobacteria	3.9302	0
"Gammaproteobacteria bacterium 13_2_20CM_66_19"	Bacteria	Proteobacteria	3.13567	0
"Gammaproteobacteria bacterium 28-57-27"	Bacteria	Proteobacteria	2.3073	0
"Gammaproteobacteria bacterium 2W06"	Bacteria	Proteobacteria	2.13274	0
"Gammaproteobacteria bacterium 39-13"	Bacteria	Proteobacteria	3.59463	0
"Gammaproteobacteria bacterium 42_54_T18"	Bacteria	Proteobacteria	6.66463	0
"Gammaproteobacteria bacterium 45_16_T64"	Bacteria	Proteobacteria	6.48628	0
"Gammaproteobacteria bacterium 50_400_T64"	Bacteria	Proteobacteria	3.05425	0
"Gammaproteobacteria bacterium 53_120_T64"	Bacteria	Proteobacteria	2.94912	0
"Gammaproteobacteria bacterium 54_18_T64"	Bacteria	Proteobacteria	2.27669	0
"Gammaproteobacteria bacterium AqS3"	Bacteria	Proteobacteria	3.16158	0
"Gammaproteobacteria bacterium bin55"	Bacteria	Proteobacteria	2.92719	0
"Gammaproteobacteria bacterium BRH_c0"	Bacteria	Proteobacteria	3.53328	0
"Gammaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_46_22"	Bacteria	Proteobacteria	2.11844	0
"Gammaproteobacteria bacterium CG12_big_fil_rev_8_21_14_0_65_46_12"	Bacteria	Proteobacteria	2.05711	0
"Gammaproteobacteria bacterium CG22_combo_CG10-13_8_21_14_all_40_8"	Bacteria	Proteobacteria	2.64568	0
"Gammaproteobacteria bacterium CG_4_10_14_0_2_um_filter_38_22"	Bacteria	Proteobacteria	1.92535	0
"Gammaproteobacteria bacterium CG_4_10_14_0_8_um_filter_38_16"	Bacteria	Proteobacteria	1.96237	0
"Gammaproteobacteria bacterium CG_4_9_14_3_um_filter_38_9"	Bacteria	Proteobacteria	1.96409	0
"Gammaproteobacteria bacterium DM2"	Bacteria	Proteobacteria	5.11215	1
"Gammaproteobacteria bacterium DTU037"	Bacteria	Proteobacteria	2.83001	0
"Gammaproteobacteria bacterium DTU040"	Bacteria	Proteobacteria	2.19959	0
"Gammaproteobacteria bacterium E01.OSU.003"	Bacteria	Proteobacteria	2.92228	0
"Gammaproteobacteria bacterium E01.OSU.005"	Bacteria	Proteobacteria	2.57942	0
"Gammaproteobacteria bacterium ESL0073"	Bacteria	Proteobacteria	3.30137	1
"Gammaproteobacteria bacterium F7"	Bacteria	Proteobacteria	2.58471	0
"Gammaproteobacteria bacterium Ga0074134"	Bacteria	Proteobacteria	2.90052	0
"Gammaproteobacteria bacterium Ga0077536"	Bacteria	Proteobacteria	4.82664	0
"Gammaproteobacteria bacterium Ga0077554"	Bacteria	Proteobacteria	2.91204	0
